ID,Внешний код,Название,Описание,Цена,Картинка для анонса,Детальная картинка,Символьный код
,823668948921,SUPER BLEND PROTEIN ШОКОЛАД 25г,Протеин,200.00,https://static.tildacdn.com/stor3132-3037-4662-b263-383231393563/26555386.png ,https://trad.one/chocolate_25g,
,302788621611,CHLORELLA,Биодобавки,1800.00,https://static.tildacdn.com/stor3730-3231-4263-b735-636566626464/86087075.png,https://trad.one/chlorella,3244
,264043177031,COLLAGEN PEPTIDE 75г,Коллаген;Бестселлеры,1800.00,https://static.tildacdn.com/stor3462-6334-4935-a162-323235386634/40605940.png,https://trad.one/peptide75g,2988
,722040486561,SUPER BLEND PROTEIN МАЛИНА 25г,Протеин,200.00,https://static.tildacdn.com/stor3837-3638-4232-a633-313237643136/49156959.png ,https://trad.one/malina_25g,
,820886305831,SUPER BLEND PROTEIN ВАНИЛЬ 25г,Протеин,200.00,https://static.tildacdn.com/stor3366-3232-4030-b439-336662386338/89141864.png ,https://trad.one/vanilla_25g,
,260665585591,BOX 1,Боксы;Акции,,https://static.tildacdn.com/stor3363-6632-4730-a665-363563623362/42934804.jpg ,https://trad.one/box_1,
,562624799442,BOX 1 - Чёрный,,3690.00,https://static.tildacdn.com/stor3366-6633-4931-b436-613531303766/68170964.jpg,https://trad.one/box_1?editionuid=562624799442,8024
,478235923792,BOX 1 - Красный,,3690.00,https://static.tildacdn.com/stor6261-6630-4130-b239-356238346432/58949666.jpg,https://trad.one/box_1?editionuid=478235923792,8025
,255049449662,BOX 1 - Белый с чёрной крышкой,,3690.00,https://static.tildacdn.com/stor3363-6632-4730-a665-363563623362/42934804.jpg,https://trad.one/box_1?editionuid=255049449662,8026
,785336485241,BOX 2,Боксы;Акции,,https://static.tildacdn.com/stor3132-3065-4330-b338-333937346466/76978927.jpg ,https://trad.one/box_2,
,476485149972,BOX 2 - Черный,,2790.00,https://static.tildacdn.com/stor6363-6261-4430-b835-366435646362/86031311.jpg,https://trad.one/box_2?editionuid=476485149972,8024
,356243181272,BOX 2 - Красный,,2790.00,https://static.tildacdn.com/stor6338-6162-4430-b633-346463396233/87649428.jpg,https://trad.one/box_2?editionuid=356243181272,8025
,753056095332,BOX 2 - Белый с чёрной крышкой,,2790.00,https://static.tildacdn.com/stor3132-3065-4330-b338-333937346466/76978927.jpg,https://trad.one/box_2?editionuid=753056095332,8026
,492405002831,BOX 3,Боксы;Акции,4680.00,https://static.tildacdn.com/stor3939-3238-4139-b036-623066366161/89944657.jpg ,https://trad.one/box_3,8023
,588935467111,PROTEIN SUPER BLEND ВАНИЛЬ 450г,Протеин;Бестселлеры,,https://static.tildacdn.com/stor3838-3962-4537-a337-316465623366/89005879.png,https://trad.one/vanilla_450g,
,116607276181,PROTEIN SUPER BLEND ВАНИЛЬ 450г - 1,,3100.00,,https://trad.one/vanilla_450g?editionuid=116607276181,5085
,917710173341,PROTEIN SUPER BLEND ВАНИЛЬ 450г - 2 | -10%,,5580.00,,https://trad.one/vanilla_450g?editionuid=917710173341,5086
,151507949791,PROTEIN SUPER BLEND ВАНИЛЬ 450г - 3 | -15%,,7905.00,,https://trad.one/vanilla_450g?editionuid=151507949791,5087
,949710473431,PROTEIN SUPER BLEND МАЛИНА 450г,Протеин,,https://static.tildacdn.com/stor3533-6330-4062-b663-326632353731/69635052.png,https://trad.one/malina_450g,
,969826717181,PROTEIN SUPER BLEND МАЛИНА 450г - 1,,3100.00,,https://trad.one/malina_450g?editionuid=969826717181,5092
,634492298901,PROTEIN SUPER BLEND МАЛИНА 450г - 2 | -10%,,5580.00,,https://trad.one/malina_450g?editionuid=634492298901,5093
,718904817771,PROTEIN SUPER BLEND МАЛИНА 450г - 3 | -15%,,7905.00,,https://trad.one/malina_450g?editionuid=718904817771,5094
,308148609091,PROTEIN SUPER BLEND ШОКОЛАД 450г,Протеин;Бестселлеры,,https://static.tildacdn.com/stor3065-3830-4663-b538-393534656361/16867499.png,https://trad.one/chocolate_450g,
,528371686531,PROTEIN SUPER BLEND ШОКОЛАД 450г - 1,,3100.00,,https://trad.one/chocolate_450g?editionuid=528371686531,5078
,846151292771,PROTEIN SUPER BLEND ШОКОЛАД 450г - 2 | -10%,,5580.00,,https://trad.one/chocolate_450g?editionuid=846151292771,5079
,501645656771,PROTEIN SUPER BLEND ШОКОЛАД 450г - 3 | -15%,,7905.00,,https://trad.one/chocolate_450g?editionuid=501645656771,50710
,439274620591,CURСUMIN C3 COMPLEX,Биодобавки,2100.00,https://static.tildacdn.com/stor6633-6161-4432-b866-376562343437/93248428.png ,https://trad.one/curcumin,8553
,876942564141,ШЕЙКЕР 400мл,Wellness-аксессуары,,https://static.tildacdn.com/stor6334-3464-4836-b338-303839393133/40535060.jpg ,https://trad.one/shaker,
,592444503461,ШЕЙКЕР 400мл - Чёрный,,1000.00,https://static.tildacdn.com/stor6334-3464-4836-b338-303839393133/40535060.jpg,https://trad.one/shaker?editionuid=592444503461,
,351048915871,ШЕЙКЕР 400мл - Красный,,1000.00,https://static.tildacdn.com/stor3130-3733-4165-a532-633562333332/45477306.jpg,https://trad.one/shaker?editionuid=351048915871,
